prov_name,cpro,munic_name,cmun,codmun,date,area_forestal_ha
Guipúzcoa,20,Hondarribia,36,20036,2010-02-27,500
Zaragoza,50,Sos del Rey Católico,248,50248,2010-03-17,794.13
Salamanca,37,Villarino de los Aires,364,37364,2010-07-30,982.53
León,24,Barjas,11,24011,2010-08-08,1077.66
León,24,Encinedo,67,24067,2010-08-09,577
León,24,Benuza,16,24016,2010-08-24,990
Orense,32,Laza,39,32039,2010-08-29,1715
Orense,32,Chandrexa de Queixa,29,32029,2010-08-30,698.06
Valencia,46,Ontinyent,184,46184,2010-09-06,2512.06
Murcia,30,Calasparra,13,30013,2010-09-07,633
Valencia,46,Rafelguaraf,209,46209,2010-09-07,2059.35
Cantabria,39,Vega de Pas,97,39097,2011-02-07,530
Cantabria,39,Arredondo,7,39007,2011-03-24,768.6
Valencia,46,Benicolet,57,46057,2011-04-08,1449.3
Zamora,49,Lubián,100,49100,2011-04-09,538
Baleares,7,Sant Joan de Labritja,50,7050,2011-05-25,1443.19
Orense,32,Carballeda de Valdeorras,17,32017,2011-08-13,512.65
Ávila,5,Navalacruz,157,5157,2011-08-19,709.45
León,24,Encinedo,67,24067,2011-09-09,654
Málaga,29,Mijas,70,29070,2011-09-11,576.95
Orense,32,Lobios,42,32042,2011-10-13,2424.42
Orense,32,Manzaneda,44,32044,2011-10-13,3236.7
Orense,32,Maceda,43,32043,2011-10-14,722.74
Orense,32,Montederramo,49,32049,2011-10-15,770
Orense,32,Viana do Bolo,86,32086,2011-10-15,979.83
Orense,32,Monterrei,50,32050,2011-10-15,1097.32
Asturias,33,Cangas del Narcea,11,33011,2011-10-16,727.27
Orense,32,Maceda,43,32043,2011-10-16,978.62
Orense,32,Laza,39,32039,2011-10-17,821.7
Orense,32,Manzaneda,44,32044,2011-10-17,828.93
Asturias,33,Cangas del Narcea,11,33011,2011-10-17,901
Orense,32,Vilariño de Conso,92,32092,2011-10-17,1486.15
León,24,Castrillo de Cabrera,43,24043,2011-10-18,580
Orense,32,Manzaneda,44,32044,2011-10-18,1285.45
Asturias,33,Allande,1,33001,2011-10-23,2012.2
Ciudad Real,13,Navas de Estena,60,13060,2012-12-31,511.12
León,24,Palacios del Sil,109,24109,2012-12-31,519.43
Orense,32,A Veiga,83,32083,2012-12-31,554.42
Barcelona,8,Castellet i la Gornal,58,8058,2012-12-31,567.9
Toledo,45,El Real de San Vicente,144,45144,2012-12-31,606.68
Cáceres,10,Caminomorisco,41,10041,2012-12-31,620
Navarra,31,Aras,26,31026,2012-12-31,620.49
Cáceres,10,Gata,84,10084,2012-12-31,646.03
Zamora,49,Cubo de Benavente,57,49057,2012-12-31,650.46
Asturias,33,Piloña,49,33049,2012-12-31,692.23
Asturias,33,Cangas del Narcea,11,33011,2012-12-31,698.5
Valencia,46,Chelva,106,46106,2012-12-31,702.29
Alicante,3,Torremanzanas/la Torre de les Maçanes,132,3132,2012-12-31,705.92
Santa Cruz de Tenerife,38,El Paso,27,38027,2012-12-31,752
Málaga,29,Pujerra,81,29081,2012-12-31,797.65
La Coruña,15,A Capela,18,15018,2012-12-31,804.94
Guadalajara,19,El Cubillo de Uceda,102,19102,2012-12-31,836.8
León,24,Riello,132,24132,2012-12-31,882
León,24,Truchas,172,24172,2012-12-31,905
Salamanca,37,Valdehijaderos,332,37332,2012-12-31,1034.51
Zamora,49,Pías,154,49154,2012-12-31,1115
Guadalajara,19,Chequilla,104,19104,2012-12-31,1125.55
Ávila,5,Solana de Ávila,236,5236,2012-12-31,1242.4
Valencia,46,Llocnou de Sant Jeroni,153,46153,2012-12-31,1331.08
Murcia,30,Moratalla,28,30028,2012-12-31,1342.19
Madrid,28,Robledo de Chavela,125,28125,2012-12-31,1488.07
Orense,32,O Barco de Valdeorras,9,32009,2012-12-31,1749.88
Santa Cruz de Tenerife,38,Villa de Mazo,53,38053,2012-12-31,2028
Zamora,49,Hermisende,94,49094,2012-12-31,2329.76
Zamora,49,Pedralba de la Pradería,145,49145,2012-12-31,2571.27
Santa Cruz de Tenerife,38,Alajeró,3,38003,2012-12-31,2676.81
Huesca,22,Montanuy,157,22157,2012-12-31,2730
Tarragona,43,Rasquera,121,43121,2012-12-31,2735.04
Valencia,46,Chulilla,112,46112,2012-12-31,3703.33
Zaragoza,50,Calcena,69,50069,2012-12-31,4281.07
Albacete,2,Hellín,37,2037,2012-12-31,5207.28
Santa Cruz de Tenerife,38,Adeje,1,38001,2012-12-31,6512
Málaga,29,Coín,42,29042,2012-12-31,8037.14
